06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','0','0','10392.65','BANKNIFTY','8462.85','0','39500','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','1350','1350','5997.8','BANKNIFTY','3495.35','0','43900','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','180','180','5798','BANKNIFTY','5368.35','0','44100','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','135','135','5698.15','BANKNIFTY','5208.5','0','44200','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','195','195','5598.25','BANKNIFTY','5062.3','0','44300','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','225','225','5498.35','BANKNIFTY','5022.8','0','44400','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','195','195','5298.6','BANKNIFTY','5249.4','0','44600','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','134655','143430','3.4','BANKNIFTY','3.4','946675','53400','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','581595','549210','3.5','BANKNIFTY','3.5','2261000','53600','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','18045','70800','3.25','BANKNIFTY','3.25','678275','53700','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
06-14-2024 07:15:57  OPT INSERT Count ==> 1 ..insert into OPTION_ITEMS (OPTION_TYPE, IS_TRADED,instrument, Open_Interest, PREVDAY_OPEN_INTEREST, LAST_PRICE ,  exchange_symbol, PREVDAY_CLOSE, acc_volume, strike_price, EXPIRY_DATE, filedate, UPDATE_DATE_TIME_BHAV) values('CE',1,'OPTIDX','50040','16965','3.15','BANKNIFTY','3.15','441925','53800','06-19-2024', 'fo13JUN2024bhav.csv', getDate())
