SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,8919.05,8919.05,8520.00,8541.45,8550.00,8866.30,3487,13403,115783458.00,,INE117A01022,19-Jun-24,,
500003,AEGIS LOGIS ,A ,Q,835.05,843.20,790.05,804.30,806.20,833.40,2762,44281,35765326.00,,INE208C01025,19-Jun-24,,
500008,ARE&M       ,A ,Q,1380.10,1418.40,1353.90,1398.25,1398.25,1372.00,16906,323802,451999158.00,,INE885A01032,19-Jun-24,,
500009,A.SARABHAI  ,X ,Q,44.60,44.93,44.00,44.40,44.40,44.17,290,56865,2523496.00,,INE432A01017,19-Jun-24,,
500012,ANDHRA PETRO,X ,Q,116.65,118.00,112.00,116.65,116.65,115.45,3694,523203,60448630.00,,INE714B01016,19-Jun-24,,
500013,ANSAL INFRAS,Z ,Q,9.69,9.97,9.03,9.04,9.04,9.50,104,47914,463076.00,,INE436A01026,19-Jun-24,,
500014,UTIQUE      ,X ,Q,8.61,8.61,8.27,8.38,8.42,8.44,181,15870,133046.00,,INE096A01010,19-Jun-24,,
500016,ARUNAHTEL   ,XT,Q,11.01,11.29,10.80,11.10,11.10,10.80,62,7004,76926.00,,INE957C01019,19-Jun-24,,
500020,BOM DYEING  ,A ,Q,175.00,175.85,170.10,171.35,171.95,174.90,2548,140107,24152820.00,,INE032A01023,19-Jun-24,,
500023,ASIANHOTNR  ,T ,Q,139.20,141.50,136.30,141.50,141.50,139.20,5,255,35495.00,,INE363A01022,19-Jun-24,,
500027,ATUL LTD.   ,A ,Q,6258.50,6320.00,6189.15,6227.25,6208.20,6284.40,742,1872,11711598.00,,INE100A01010,19-Jun-24,,
500028,ATV PROJECTS,XT,Q,26.25,26.90,25.00,25.88,25.86,26.16,144,33924,868804.00,,INE447A01015,19-Jun-24,,
500031,BAJAJ ELECT.,A ,Q,1070.00,1080.00,1046.55,1050.50,1049.00,1063.45,413,2663,2811828.00,,INE193E01025,19-Jun-24,,
